Usage: ./mm-cuda <size>
blockIdx = 15,15, threadIdx = 10,6, blockDim = 32,32, start time = -673515430
blockIdx = 15,15, threadIdx = 11,6, blockDim = 32,32, start time = -673515430
blockIdx = 15,15, threadIdx = 12,6, blockDim = 32,32, start time = -673515430
blockIdx = 15,15, threadIdx = 13,6, blockDim = 32,32, start time = -673515430
blockIdx = 15,15, threadIdx = 14,6, blockDim = 32,32, start time = -673515430
blockIdx = 15,15, threadIdx = 15,6, blockDim = 32,32, start time = -673515430
blockIdx = 15,15, threadIdx = 16,6, blockDim = 32,32, start time = -673515430
blockIdx = 15,15, threadIdx = 17,6, blockDim = 32,32, start time = -673515430
blockIdx = 15,15, threadIdx = 18,6, blockDim = 32,32, start time = -673515430
blockIdx = 15,15, threadIdx = 19,6, blockDim = 32,32, start time = -673515430
blockIdx = 15,15, threadIdx = 20,6, blockDim = 32,32, start time = -673515430
blockIdx = 15,15, threadIdx = 21,6, blockDim = 32,32, start time = -673515430
blockIdx = 15,15, threadIdx = 22,6, blockDim = 32,32, start time = -673515430
blockIdx = 15,15, threadIdx = 23,6, blockDim = 32,32, start time = -673515430
blockIdx = 15,15, threadIdx = 24,6, blockDim = 32,32, start time = -673515430
blockIdx = 15,15, threadIdx = 25,6, blockDim = 32,32, start time = -673515430
blockIdx = 15,15, threadIdx = 26,6, blockDim = 32,32, start time = -673515430
blockIdx = 15,15, threadIdx = 27,6, blockDim = 32,32, start time = -673515430
blockIdx = 15,15, threadIdx = 28,6, blockDim = 32,32, start time = -673515430
blockIdx = 15,15, threadIdx = 29,6, blockDim = 32,32, start time = -673515430
blockIdx = 15,15, threadIdx = 30,6, blockDim = 32,32, start time = -673515430
blockIdx = 15,15, threadIdx = 31,6, blockDim = 32,32, start time = -673515430
blockIdx = 15,15, threadIdx = 0,5, blockDim = 32,32, start time = -673515327
blockIdx = 15,15, threadIdx = 1,5, blockDim = 32,32, start time = -673515327
blockIdx = 15,15, threadIdx = 2,5, blockDim = 32,32, start time = -673515327
blockIdx = 15,15, threadIdx = 3,5, blockDim = 32,32, start time = -673515327
blockIdx = 15,15, threadIdx = 4,5, blockDim = 32,32, start time = -673515327
blockIdx = 15,15, threadIdx = 5,5, blockDim = 32,32, start time = -673515327
